Gene 	 CNA_Weight 
MXRA8 	 0.01041667 
CPSF3L 	 0.01041667 
C1orf159 	 0.01041667 
AURKAIP1 	 0.01041667 
MRPL20 	 0.01041667 
ATAD3A 	 0.01041667 
PANK4 	 0.01041667 
HES4 	 0.01041667 
PRDM16 	 0.01041667 
VWA1 	 0.01041667 
NADK 	 0.01041667 
MMEL1 	 0.01041667 
OR4F5 	 0.01041667 
LINC00115 	 0.01041667 
MORN1 	 0.01041667 
GLTPD1 	 0.01041667 
OR4F16 	 0.01041667 
CCNL2 	 0.01041667 
TAS1R3 	 0.01041667 
ATAD3B 	 0.01041667 
PLEKHN1 	 0.01041667 
PERM1 	 0.01041667 
KIAA1751 	 0.01041667 
LOC115110 	 0.01041667 
ACAP3 	 0.01041667 
UBE2J2 	 0.01041667 
PUSL1 	 0.01041667 
B3GALT6 	 0.01041667 
FAM213B 	 0.01041667 
ACTRT2 	 0.01041667 
MIB2 	 0.01041667 
SAMD11 	 0.01041667 
LOC148413 	 0.01041667 
CALML6 	 0.01041667 
C1orf86 	 0.01041667 
ATAD3C 	 0.01041667 
RP11-465B22.5 	 0.01041667 
TTLL10 	 0.01041667 
FAM41C 	 0.01041667 
KLHL17 	 0.01041667 
TMEM240 	 0.01041667 
TMEM52 	 0.01041667 
AGRN 	 0.01041667 
FAM132A 	 0.01041667 
HES5 	 0.01041667 
FAM87B 	 0.01041667 
RNF223 	 0.01041667 
MIR200A 	 0.01041667 
MIR200B 	 0.01041667 
LINC00982 	 0.01041667 
ANKRD65 	 0.01041667 
MIR429 	 0.01041667 
LINC01128 	 0.01041667 
TMEM88B 	 0.01041667 
C1orf233 	 0.01041667 
FAM138A 	 0.01041667 
WASH7P 	 0.01041667 
CDK11A 	 0.01041667 
SLC35E2B 	 0.01041667 
LOC729737 	 0.01041667 
OR4F29 	 0.01041667 
LOC100129534 	 0.01041667 
LOC100130417 	 0.01041667 
RP4-669L17.10 	 0.01041667 
LOC100133331 	 0.01041667 
LOC100133445 	 0.01041667 
DDX11L1 	 0.01041667 
TTC34 	 0.01041667 
LOC100288069 	 0.01041667 
MIR4251 	 0.01041667 
MIR6723 	 0.01041667 
MIR6726 	 0.01041667 
MIR6727 	 0.01041667 
MIR6808 	 0.01041667 
MIR6859-1 	 0.01041667 
LRP1B 	 1 
hsa-mir-3133 	 0.25 
SEPT2 	 0.25 
FARP2 	 0.25 
STK25 	 0.25 
ACP1 	 0.25 
SH3YL1 	 0.25 
FAM150B 	 0.25 
FAM110C 	 0.25 
CHL1 	 0.1428571 
CNTN6 	 0.1428571 
CNTN4 	 0.1428571 
CNTN4-AS2 	 0.1428571 
AC011609.3 	 0.1428571 
AC090044.1 	 0.1428571 
AY269186.1 	 0.1428571 
TUSC7 	 1 
BAP1 	 0.5 
DNAH1 	 0.5 
LINC00290 	 1 
CCSER1 	 1 
GTF2H2 	 0.05882353 
NAIP 	 0.05882353 
SMN1 	 0.05882353 
SMN2 	 0.05882353 
SERF1A 	 0.05882353 
SMA4 	 0.05882353 
SMA5 	 0.05882353 
LOC441081 	 0.05882353 
LOC647859 	 0.05882353 
GUSBP3 	 0.05882353 
GTF2H2B 	 0.05882353 
GTF2H2C 	 0.05882353 
SERF1B 	 0.05882353 
GTF2H2D 	 0.05882353 
GUSBP9 	 0.05882353 
LOC100272216 	 0.05882353 
OCLN 	 0.05882353 
hsa-mir-582 	 0.3333333 
PDE4D 	 0.3333333 
PART1 	 0.3333333 
GPR31 	 0.06666667 
KIF25 	 0.06666667 
MLLT4 	 0.06666667 
TCP10 	 0.06666667 
C6orf123 	 0.06666667 
UNC93A 	 0.06666667 
SMOC2 	 0.06666667 
FRMD1 	 0.06666667 
TTLL2 	 0.06666667 
DACT2 	 0.06666667 
TCP10L2 	 0.06666667 
MLLT4-AS1 	 0.06666667 
HGC6.3 	 0.06666667 
KIF25-AS1 	 0.06666667 
RP11-503C24.4 	 0.06666667 
GMDS 	 1 
SDK1 	 1 
FBXO25 	 0.1428571 
FAM87A 	 0.1428571 
TDRP 	 0.1428571 
ERICH1 	 0.1428571 
ZNF596 	 0.1428571 
OR4F21 	 0.1428571 
RPL23AP53 	 0.1428571 
PPP2R2A 	 1 
TSC1 	 1 
hsa-mir-1302-9 	 0.1111111 
FOXD4 	 0.1111111 
KANK1 	 0.1111111 
CBWD1 	 0.1111111 
DOCK8 	 0.1111111 
C9orf66 	 0.1111111 
FAM138C 	 0.1111111 
WASH1 	 0.1111111 
DDX11L5 	 0.1111111 
PTEN 	 0.5 
KLLN 	 0.5 
ZMYND11 	 0.3333333 
DIP2C 	 0.3333333 
TUBB8 	 0.3333333 
CYP2E1 	 0.05882353 
ECHS1 	 0.05882353 
DUX4 	 0.05882353 
DUX2 	 0.05882353 
MTG1 	 0.05882353 
SYCE1 	 0.05882353 
PAOX 	 0.05882353 
SPRNP1 	 0.05882353 
FRG2B 	 0.05882353 
SPRN 	 0.05882353 
SCART1 	 0.05882353 
DUX4L7 	 0.05882353 
DUX4L6 	 0.05882353 
DUX4L5 	 0.05882353 
DUX4L3 	 0.05882353 
DUX4L2 	 0.05882353 
MIR3944 	 0.05882353 
PHRF1 	 0.25 
LOC143666 	 0.25 
MIR210 	 0.25 
MIR210HG 	 0.25 
ACAD8 	 0.2 
B3GAT1 	 0.2 
GLB1L2 	 0.2 
GLB1L3 	 0.2 
LOC283177 	 0.2 
GOLGA3 	 0.05263158 
POLE 	 0.05263158 
PXMP2 	 0.05263158 
ZNF10 	 0.05263158 
ZNF26 	 0.05263158 
ZNF84 	 0.05263158 
ZNF140 	 0.05263158 
ZNF268 	 0.05263158 
P2RX2 	 0.05263158 
ANKLE2 	 0.05263158 
CHFR 	 0.05263158 
FBRSL1 	 0.05263158 
PGAM5 	 0.05263158 
ANHX 	 0.05263158 
ZNF605 	 0.05263158 
LRCOL1 	 0.05263158 
ZNF891 	 0.05263158 
RP11-386I8.6 	 0.05263158 
MIR6763 	 0.05263158 
APAF1 	 0.25 
ANKS1B 	 0.25 
FAM71C 	 0.25 
RP11-406H4.1 	 0.25 
RB1 	 0.3333333 
LPAR6 	 0.3333333 
LINC00441 	 0.3333333 
LINC00442 	 1 
GPHN 	 1 
MGA 	 0.5 
MIR626 	 0.5 
WWOX 	 1 
CREBBP 	 1 
CDH3 	 1 
AFG3L1P 	 0.03703704 
C16orf3 	 0.03703704 
DPEP1 	 0.03703704 
FANCA 	 0.03703704 
GAS8 	 0.03703704 
MC1R 	 0.03703704 
CHMP1A 	 0.03703704 
RPL13 	 0.03703704 
SPG7 	 0.03703704 
CDK10 	 0.03703704 
VPS9D1 	 0.03703704 
TUBB3 	 0.03703704 
PRDM7 	 0.03703704 
TCF25 	 0.03703704 
CPNE7 	 0.03703704 
ANKRD11 	 0.03703704 
DEF8 	 0.03703704 
DBNDD1 	 0.03703704 
SPIRE2 	 0.03703704 
CENPBD1 	 0.03703704 
ZNF276 	 0.03703704 
SPATA2L 	 0.03703704 
SPATA33 	 0.03703704 
SNORD68 	 0.03703704 
VPS9D1-AS1 	 0.03703704 
URAHP 	 0.03703704 
AC137932.6 	 0.03703704 
EVI2A 	 0.2 
EVI2B 	 0.2 
NF1 	 0.2 
OMG 	 0.2 
MIR4733 	 0.2 
MAP2K4 	 0.5 
MIR744 	 0.5 
NFATC1 	 0.08333333 
CTDP1 	 0.08333333 
TXNL4A 	 0.08333333 
ADNP2 	 0.08333333 
KCNG2 	 0.08333333 
RBFA 	 0.08333333 
PQLC1 	 0.08333333 
PARD6G 	 0.08333333 
ATP9B 	 0.08333333 
HSBP1L1 	 0.08333333 
PARD6G-AS1 	 0.08333333 
RBFADN 	 0.08333333 
TCF3 	 0.5 
UQCR11 	 0.5 
ZNF135 	 0.5 
ZSCAN1 	 0.5 
ZNF226 	 1 
TSPEAR 	 0.5 
KRTAP10-5 	 0.5 
NRIP1 	 1 
ACR 	 0.02439024 
ARSA 	 0.02439024 
CHKB 	 0.02439024 
CPT1B 	 0.02439024 
TYMP 	 0.02439024 
MAPK11 	 0.02439024 
MAPK12 	 0.02439024 
SBF1 	 0.02439024 
PPP6R2 	 0.02439024 
ZBED4 	 0.02439024 
SCO2 	 0.02439024 
RABL2B 	 0.02439024 
MLC1 	 0.02439024 
MAPK8IP2 	 0.02439024 
PLXNB2 	 0.02439024 
BRD1 	 0.02439024 
NCAPH2 	 0.02439024 
MOV10L1 	 0.02439024 
MIOX 	 0.02439024 
PANX2 	 0.02439024 
ALG12 	 0.02439024 
CRELD2 	 0.02439024 
ADM2 	 0.02439024 
TRABD 	 0.02439024 
SELO 	 0.02439024 
HDAC10 	 0.02439024 
SHANK3 	 0.02439024 
TUBGCP6 	 0.02439024 
LOC90834 	 0.02439024 
LMF2 	 0.02439024 
KLHDC7B 	 0.02439024 
RPL23AP82 	 0.02439024 
C22orf34 	 0.02439024 
CHKB-CPT1B 	 0.02439024 
IL17REL 	 0.02439024 
DENND6B 	 0.02439024 
PIM3 	 0.02439024 
ODF3B 	 0.02439024 
SYCE3 	 0.02439024 
CHKB-AS1 	 0.02439024 
MIR6821 	 0.02439024 
hsa-mir-548f-5 	 0.25 
DMD 	 0.25 
FTHL17 	 0.25 
TAB3 	 0.25 
